Survived,Pclass,Sex,Age,SibSp,Parch,Fare,cross1,cross2,Embarked_C,Embarked_Q,Embarked_S
0,3,1,22.0,1,0,7.25,7.25,22.0,False,False,True
1,1,0,38.0,1,0,71.2833,213.8499,38.0,True,False,False
1,3,0,26.0,0,0,7.925,7.925,0.0,False,False,True
1,1,0,35.0,1,0,53.1,159.3,35.0,False,False,True
0,3,1,35.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,28.0,0,0,8.4583,8.4583,0.0,False,True,False
0,1,1,54.0,0,0,51.8625,155.58749999999998,0.0,False,False,True
0,3,1,2.0,3,1,21.075,21.075,8.0,False,False,True
1,3,0,27.0,0,2,11.1333,11.1333,54.0,False,False,True
1,2,0,14.0,1,0,30.0708,60.1416,14.0,True,False,False
1,3,0,4.0,1,1,16.7,16.7,8.0,False,False,True
1,1,0,58.0,0,0,26.55,79.65,0.0,False,False,True
0,3,1,20.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,39.0,1,5,31.275,31.275,234.0,False,False,True
0,3,0,14.0,0,0,7.8542,7.8542,0.0,False,False,True
1,2,0,55.0,0,0,16.0,32.0,0.0,False,False,True
0,3,1,2.0,4,1,29.125,29.125,10.0,False,True,False
1,2,1,28.0,0,0,13.0,26.0,0.0,False,False,True
0,3,0,31.0,1,0,18.0,18.0,31.0,False,False,True
1,3,0,28.0,0,0,7.225,7.225,0.0,True,False,False
0,2,1,35.0,0,0,26.0,52.0,0.0,False,False,True
1,2,1,34.0,0,0,13.0,26.0,0.0,False,False,True
1,3,0,15.0,0,0,8.0292,8.0292,0.0,False,True,False
1,1,1,28.0,0,0,35.5,106.5,0.0,False,False,True
0,3,0,8.0,3,1,21.075,21.075,32.0,False,False,True
1,3,0,38.0,1,5,31.3875,31.3875,228.0,False,False,True
0,3,1,28.0,0,0,7.225,7.225,0.0,True,False,False
0,1,1,19.0,3,2,263.0,789.0,95.0,False,False,True
1,3,0,28.0,0,0,7.8792,7.8792,0.0,False,True,False
0,3,1,28.0,0,0,7.8958,7.8958,0.0,False,False,True
0,1,1,40.0,0,0,27.7208,83.1624,0.0,True,False,False
1,1,0,28.0,1,0,146.5208,439.5624,28.0,True,False,False
1,3,0,28.0,0,0,7.75,7.75,0.0,False,True,False
0,2,1,66.0,0,0,10.5,21.0,0.0,False,False,True
0,1,1,28.0,1,0,82.1708,246.5124,28.0,True,False,False
0,1,1,42.0,1,0,52.0,156.0,42.0,False,False,True
1,3,1,28.0,0,0,7.2292,7.2292,0.0,True,False,False
0,3,1,21.0,0,0,8.05,8.05,0.0,False,False,True
0,3,0,18.0,2,0,18.0,18.0,36.0,False,False,True
1,3,0,14.0,1,0,11.2417,11.2417,14.0,True,False,False
0,3,0,40.0,1,0,9.475,9.475,40.0,False,False,True
0,2,0,27.0,1,0,21.0,42.0,27.0,False,False,True
0,3,1,28.0,0,0,7.8958,7.8958,0.0,True,False,False
1,2,0,3.0,1,2,41.5792,83.1584,9.0,True,False,False
1,3,0,19.0,0,0,7.8792,7.8792,0.0,False,True,False
0,3,1,28.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,28.0,1,0,15.5,15.5,28.0,False,True,False
1,3,0,28.0,0,0,7.75,7.75,0.0,False,True,False
0,3,1,28.0,2,0,21.6792,21.6792,56.0,True,False,False
0,3,0,18.0,1,0,17.8,17.8,18.0,False,False,True
0,3,1,7.0,4,1,39.6875,39.6875,35.0,False,False,True
0,3,1,21.0,0,0,7.8,7.8,0.0,False,False,True
1,1,0,49.0,1,0,76.7292,230.18760000000003,49.0,True,False,False
1,2,0,29.0,1,0,26.0,52.0,29.0,False,False,True
0,1,1,65.0,0,1,61.9792,185.9376,65.0,True,False,False
1,1,1,28.0,0,0,35.5,106.5,0.0,False,False,True
1,2,0,21.0,0,0,10.5,21.0,0.0,False,False,True
0,3,1,28.5,0,0,7.2292,7.2292,0.0,True,False,False
1,2,0,5.0,1,2,27.75,55.5,15.0,False,False,True
0,3,1,11.0,5,2,46.9,46.9,77.0,False,False,True
0,3,1,22.0,0,0,7.2292,7.2292,0.0,True,False,False
1,1,0,38.0,0,0,80.0,240.0,0.0,False,False,True
0,1,1,45.0,1,0,83.475,250.425,45.0,False,False,True
0,3,1,4.0,3,2,27.9,27.9,20.0,False,False,True
0,1,1,28.0,0,0,27.7208,83.1624,0.0,True,False,False
1,3,1,28.0,1,1,15.2458,15.2458,56.0,True,False,False
1,2,0,29.0,0,0,10.5,21.0,0.0,False,False,True
0,3,1,19.0,0,0,8.1583,8.1583,0.0,False,False,True
1,3,0,17.0,4,2,7.925,7.925,102.0,False,False,True
0,3,1,26.0,2,0,8.6625,8.6625,52.0,False,False,True
0,2,1,32.0,0,0,10.5,21.0,0.0,False,False,True
0,3,0,16.0,5,2,46.9,46.9,112.0,False,False,True
0,2,1,21.0,0,0,73.5,147.0,0.0,False,False,True
0,3,1,26.0,1,0,14.4542,14.4542,26.0,True,False,False
1,3,1,32.0,0,0,56.4958,56.4958,0.0,False,False,True
0,3,1,25.0,0,0,7.65,7.65,0.0,False,False,True
0,3,1,28.0,0,0,7.8958,7.8958,0.0,False,False,True
0,3,1,28.0,0,0,8.05,8.05,0.0,False,False,True
1,2,1,0.83,0,2,29.0,58.0,1.66,False,False,True
1,3,0,30.0,0,0,12.475,12.475,0.0,False,False,True
0,3,1,22.0,0,0,9.0,9.0,0.0,False,False,True
1,3,1,29.0,0,0,9.5,9.5,0.0,False,False,True
1,3,0,28.0,0,0,7.7875,7.7875,0.0,False,True,False
0,1,1,28.0,0,0,47.1,141.3,0.0,False,False,True
1,2,0,17.0,0,0,10.5,21.0,0.0,False,False,True
1,3,0,33.0,3,0,15.85,15.85,99.0,False,False,True
0,3,1,16.0,1,3,34.375,34.375,64.0,False,False,True
0,3,1,28.0,0,0,8.05,8.05,0.0,False,False,True
1,1,0,23.0,3,2,263.0,789.0,115.0,False,False,True
0,3,1,24.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,29.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,20.0,0,0,7.8542,7.8542,0.0,False,False,True
0,1,1,46.0,1,0,61.175,183.525,46.0,False,False,True
0,3,1,26.0,1,2,20.575,20.575,78.0,False,False,True
0,3,1,59.0,0,0,7.25,7.25,0.0,False,False,True
0,3,1,28.0,0,0,8.05,8.05,0.0,False,False,True
0,1,1,71.0,0,0,34.6542,103.9626,0.0,True,False,False
1,1,1,23.0,0,1,63.3583,190.0749,23.0,True,False,False
1,2,0,34.0,0,1,23.0,46.0,34.0,False,False,True
0,2,1,34.0,1,0,26.0,52.0,34.0,False,False,True
0,3,0,28.0,0,0,7.8958,7.8958,0.0,False,False,True
0,3,1,28.0,0,0,7.8958,7.8958,0.0,False,False,True
0,1,1,21.0,0,1,77.2875,231.8625,21.0,False,False,True
0,3,1,33.0,0,0,8.6542,8.6542,0.0,False,False,True
0,3,1,37.0,2,0,7.925,7.925,74.0,False,False,True
0,3,1,28.0,0,0,7.8958,7.8958,0.0,False,False,True
1,3,0,21.0,0,0,7.65,7.65,0.0,False,False,True
1,3,1,28.0,0,0,7.775,7.775,0.0,False,False,True
0,3,1,38.0,0,0,7.8958,7.8958,0.0,False,False,True
1,3,0,28.0,1,0,24.15,24.15,28.0,False,True,False
0,1,1,47.0,0,0,52.0,156.0,0.0,False,False,True
0,3,0,14.5,1,0,14.4542,14.4542,14.5,True,False,False
0,3,1,22.0,0,0,8.05,8.05,0.0,False,False,True
0,3,0,20.0,1,0,9.825,9.825,20.0,False,False,True
0,3,0,17.0,0,0,14.4583,14.4583,0.0,True,False,False
0,3,1,21.0,0,0,7.925,7.925,0.0,False,False,True
0,3,1,70.5,0,0,7.75,7.75,0.0,False,True,False
0,2,1,29.0,1,0,21.0,42.0,29.0,False,False,True
0,1,1,24.0,0,1,247.5208,742.5624,24.0,True,False,False
0,3,0,2.0,4,2,31.275,31.275,12.0,False,False,True
0,2,1,21.0,2,0,73.5,147.0,42.0,False,False,True
0,3,1,28.0,0,0,8.05,8.05,0.0,False,False,True
0,2,1,32.5,1,0,30.0708,60.1416,32.5,True,False,False
1,2,0,32.5,0,0,13.0,26.0,0.0,False,False,True
0,1,1,54.0,0,1,77.2875,231.8625,54.0,False,False,True
1,3,1,12.0,1,0,11.2417,11.2417,12.0,True,False,False
0,3,1,28.0,0,0,7.75,7.75,0.0,False,True,False
1,3,1,24.0,0,0,7.1417,7.1417,0.0,False,False,True
1,3,0,28.0,1,1,22.3583,22.3583,56.0,True,False,False
0,3,1,45.0,0,0,6.975,6.975,0.0,False,False,True
0,3,1,33.0,0,0,7.8958,7.8958,0.0,True,False,False
0,3,1,20.0,0,0,7.05,7.05,0.0,False,False,True
0,3,0,47.0,1,0,14.5,14.5,47.0,False,False,True
1,2,0,29.0,1,0,26.0,52.0,29.0,False,False,True
0,2,1,25.0,0,0,13.0,26.0,0.0,False,False,True
0,2,1,23.0,0,0,15.0458,30.0916,0.0,True,False,False
1,1,0,19.0,0,2,26.2833,78.8499,38.0,False,False,True
0,1,1,37.0,1,0,53.1,159.3,37.0,False,False,True
0,3,1,16.0,0,0,9.2167,9.2167,0.0,False,False,True
0,1,1,24.0,0,0,79.2,237.6,0.0,True,False,False
0,3,0,28.0,0,2,15.2458,15.2458,56.0,True,False,False
1,3,0,22.0,0,0,7.75,7.75,0.0,False,False,True
1,3,0,24.0,1,0,15.85,15.85,24.0,False,False,True
0,3,1,19.0,0,0,6.75,6.75,0.0,False,True,False
0,2,1,18.0,0,0,11.5,23.0,0.0,False,False,True
0,2,1,19.0,1,1,36.75,73.5,38.0,False,False,True
1,3,1,27.0,0,0,7.7958,7.7958,0.0,False,False,True
0,3,0,9.0,2,2,34.375,34.375,36.0,False,False,True
0,2,1,36.5,0,2,26.0,52.0,73.0,False,False,True
0,2,1,42.0,0,0,13.0,26.0,0.0,False,False,True
0,2,1,51.0,0,0,12.525,25.05,0.0,False,False,True
1,1,0,22.0,1,0,66.6,199.8,22.0,False,False,True
0,3,1,55.5,0,0,8.05,8.05,0.0,False,False,True
0,3,1,40.5,0,2,14.5,14.5,81.0,False,False,True
0,3,1,28.0,0,0,7.3125,7.3125,0.0,False,False,True
0,1,1,51.0,0,1,61.3792,184.1376,51.0,True,False,False
1,3,0,16.0,0,0,7.7333,7.7333,0.0,False,True,False
0,3,1,30.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,28.0,0,0,8.6625,8.6625,0.0,False,False,True
0,3,1,28.0,8,2,69.55,69.55,280.0,False,False,True
0,3,1,44.0,0,1,16.1,16.1,44.0,False,False,True
1,2,0,40.0,0,0,15.75,31.5,0.0,False,False,True
0,3,1,26.0,0,0,7.775,7.775,0.0,False,False,True
0,3,1,17.0,0,0,8.6625,8.6625,0.0,False,False,True
0,3,1,1.0,4,1,39.6875,39.6875,5.0,False,False,True
1,3,1,9.0,0,2,20.525,20.525,18.0,False,False,True
1,1,0,28.0,0,1,55.0,165.0,28.0,False,False,True
0,3,0,45.0,1,4,27.9,27.9,225.0,False,False,True
0,1,1,28.0,0,0,25.925,77.775,0.0,False,False,True
0,3,1,28.0,0,0,56.4958,56.4958,0.0,False,False,True
0,1,1,61.0,0,0,33.5,100.5,0.0,False,False,True
0,3,1,4.0,4,1,29.125,29.125,20.0,False,True,False
1,3,0,1.0,1,1,11.1333,11.1333,2.0,False,False,True
0,3,1,21.0,0,0,7.925,7.925,0.0,False,False,True
0,1,1,56.0,0,0,30.6958,92.0874,0.0,True,False,False
0,3,1,18.0,1,1,7.8542,7.8542,36.0,False,False,True
0,3,1,28.0,3,1,25.4667,25.4667,112.0,False,False,True
0,1,0,50.0,0,0,28.7125,86.13749999999999,0.0,True,False,False
0,2,1,30.0,0,0,13.0,26.0,0.0,False,False,True
0,3,1,36.0,0,0,0.0,0.0,0.0,False,False,True
0,3,0,28.0,8,2,69.55,69.55,280.0,False,False,True
0,2,1,28.0,0,0,15.05,30.1,0.0,True,False,False
0,3,1,9.0,4,2,31.3875,31.3875,54.0,False,False,True
1,2,1,1.0,2,1,39.0,78.0,3.0,False,False,True
1,3,0,4.0,0,2,22.025,22.025,8.0,False,False,True
0,1,1,28.0,0,0,50.0,150.0,0.0,False,False,True
1,3,0,28.0,1,0,15.5,15.5,28.0,False,True,False
1,1,1,45.0,0,0,26.55,79.65,0.0,False,False,True
0,3,1,40.0,1,1,15.5,15.5,80.0,False,True,False
0,3,1,36.0,0,0,7.8958,7.8958,0.0,False,False,True
1,2,0,32.0,0,0,13.0,26.0,0.0,False,False,True
0,2,1,19.0,0,0,13.0,26.0,0.0,False,False,True
1,3,0,19.0,1,0,7.8542,7.8542,19.0,False,False,True
1,2,1,3.0,1,1,26.0,52.0,6.0,False,False,True
1,1,0,44.0,0,0,27.7208,83.1624,0.0,True,False,False
1,1,0,58.0,0,0,146.5208,439.5624,0.0,True,False,False
0,3,1,28.0,0,0,7.75,7.75,0.0,False,True,False
0,3,1,42.0,0,1,8.4042,8.4042,42.0,False,False,True
1,3,0,28.0,0,0,7.75,7.75,0.0,False,True,False
0,2,0,24.0,0,0,13.0,26.0,0.0,False,False,True
0,3,1,28.0,0,0,9.5,9.5,0.0,False,False,True
0,3,1,28.0,8,2,69.55,69.55,280.0,False,False,True
0,3,1,34.0,0,0,6.4958,6.4958,0.0,False,False,True
0,3,1,45.5,0,0,7.225,7.225,0.0,True,False,False
1,3,1,18.0,0,0,8.05,8.05,0.0,False,False,True
0,3,0,2.0,0,1,10.4625,10.4625,2.0,False,False,True
0,3,1,32.0,1,0,15.85,15.85,32.0,False,False,True
1,3,1,26.0,0,0,18.7875,18.7875,0.0,True,False,False
1,3,0,16.0,0,0,7.75,7.75,0.0,False,True,False
1,1,1,40.0,0,0,31.0,93.0,0.0,True,False,False
0,3,1,24.0,0,0,7.05,7.05,0.0,False,False,True
1,2,0,35.0,0,0,21.0,42.0,0.0,False,False,True
0,3,1,22.0,0,0,7.25,7.25,0.0,False,False,True
0,2,1,30.0,0,0,13.0,26.0,0.0,False,False,True
0,3,1,28.0,1,0,7.75,7.75,28.0,False,True,False
1,1,0,31.0,1,0,113.275,339.82500000000005,31.0,True,False,False
1,3,0,27.0,0,0,7.925,7.925,0.0,False,False,True
0,2,1,42.0,1,0,27.0,54.0,42.0,False,False,True
1,1,0,32.0,0,0,76.2917,228.87510000000003,0.0,True,False,False
0,2,1,30.0,0,0,10.5,21.0,0.0,False,False,True
1,3,1,16.0,0,0,8.05,8.05,0.0,False,False,True
0,2,1,27.0,0,0,13.0,26.0,0.0,False,False,True
0,3,1,51.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,28.0,0,0,7.8958,7.8958,0.0,False,False,True
1,1,1,38.0,1,0,90.0,270.0,38.0,False,False,True
0,3,1,22.0,0,0,9.35,9.35,0.0,False,False,True
1,2,1,19.0,0,0,10.5,21.0,0.0,False,False,True
0,3,1,20.5,0,0,7.25,7.25,0.0,False,False,True
0,2,1,18.0,0,0,13.0,26.0,0.0,False,False,True
0,3,0,28.0,3,1,25.4667,25.4667,112.0,False,False,True
1,1,0,35.0,1,0,83.475,250.425,35.0,False,False,True
0,3,1,29.0,0,0,7.775,7.775,0.0,False,False,True
0,2,1,59.0,0,0,13.5,27.0,0.0,False,False,True
1,3,0,5.0,4,2,31.3875,31.3875,30.0,False,False,True
0,2,1,24.0,0,0,10.5,21.0,0.0,False,False,True
0,3,0,28.0,0,0,7.55,7.55,0.0,False,False,True
0,2,1,44.0,1,0,26.0,52.0,44.0,False,False,True
1,2,0,8.0,0,2,26.25,52.5,16.0,False,False,True
0,2,1,19.0,0,0,10.5,21.0,0.0,False,False,True
0,2,1,33.0,0,0,12.275,24.55,0.0,False,False,True
0,3,0,28.0,1,0,14.4542,14.4542,28.0,True,False,False
1,3,0,28.0,1,0,15.5,15.5,28.0,False,True,False
0,2,1,29.0,0,0,10.5,21.0,0.0,False,False,True
0,3,1,22.0,0,0,7.125,7.125,0.0,False,False,True
0,3,1,30.0,0,0,7.225,7.225,0.0,True,False,False
0,1,1,44.0,2,0,90.0,270.0,88.0,False,True,False
0,3,0,25.0,0,0,7.775,7.775,0.0,False,False,True
1,2,0,24.0,0,2,14.5,29.0,48.0,False,False,True
1,1,1,37.0,1,1,52.5542,157.6626,74.0,False,False,True
0,2,1,54.0,1,0,26.0,52.0,54.0,False,False,True
0,3,1,28.0,0,0,7.25,7.25,0.0,False,False,True
0,3,0,29.0,1,1,10.4625,10.4625,58.0,False,False,True
0,1,1,62.0,0,0,26.55,79.65,0.0,False,False,True
0,3,1,30.0,1,0,16.1,16.1,30.0,False,False,True
0,3,0,41.0,0,2,20.2125,20.2125,82.0,False,False,True
1,3,0,29.0,0,2,15.2458,15.2458,58.0,True,False,False
1,1,0,28.0,0,0,79.2,237.6,0.0,True,False,False
1,1,0,30.0,0,0,86.5,259.5,0.0,False,False,True
1,1,0,35.0,0,0,512.3292,1536.9876,0.0,True,False,False
1,2,0,50.0,0,1,26.0,52.0,50.0,False,False,True
0,3,1,28.0,0,0,7.75,7.75,0.0,False,True,False
1,3,1,3.0,4,2,31.3875,31.3875,18.0,False,False,True
0,1,1,52.0,1,1,79.65,238.95,104.0,False,False,True
0,1,1,40.0,0,0,0.0,0.0,0.0,False,False,True
0,3,0,28.0,0,0,7.75,7.75,0.0,False,True,False
0,2,1,36.0,0,0,10.5,21.0,0.0,False,False,True
0,3,1,16.0,4,1,39.6875,39.6875,80.0,False,False,True
1,3,1,25.0,1,0,7.775,7.775,25.0,False,False,True
1,1,0,58.0,0,1,153.4625,460.3875000000001,58.0,False,False,True
1,1,0,35.0,0,0,135.6333,406.8999,0.0,False,False,True
0,1,1,28.0,0,0,31.0,93.0,0.0,False,False,True
1,3,1,25.0,0,0,0.0,0.0,0.0,False,False,True
1,2,0,41.0,0,1,19.5,39.0,41.0,False,False,True
0,1,1,37.0,0,1,29.7,89.1,37.0,True,False,False
1,3,0,28.0,0,0,7.75,7.75,0.0,False,True,False
1,1,0,63.0,1,0,77.9583,233.8749,63.0,False,False,True
0,3,0,45.0,0,0,7.75,7.75,0.0,False,False,True
0,2,1,28.0,0,0,0.0,0.0,0.0,False,False,True
0,3,1,7.0,4,1,29.125,29.125,35.0,False,True,False
1,3,0,35.0,1,1,20.25,20.25,70.0,False,False,True
0,3,1,65.0,0,0,7.75,7.75,0.0,False,True,False
0,3,1,28.0,0,0,7.8542,7.8542,0.0,False,False,True
0,3,1,16.0,0,0,9.5,9.5,0.0,False,False,True
1,3,1,19.0,0,0,8.05,8.05,0.0,False,False,True
0,1,1,28.0,0,0,26.0,78.0,0.0,False,False,True
0,3,1,33.0,0,0,8.6625,8.6625,0.0,True,False,False
1,3,1,30.0,0,0,9.5,9.5,0.0,False,False,True
0,3,1,22.0,0,0,7.8958,7.8958,0.0,False,False,True
1,2,1,42.0,0,0,13.0,26.0,0.0,False,False,True
1,3,0,22.0,0,0,7.75,7.75,0.0,False,True,False
1,1,0,26.0,0,0,78.85,236.55,0.0,False,False,True
1,1,0,19.0,1,0,91.0792,273.2376,19.0,True,False,False
0,2,1,36.0,0,0,12.875,25.75,0.0,True,False,False
0,3,0,24.0,0,0,8.85,8.85,0.0,False,False,True
0,3,1,24.0,0,0,7.8958,7.8958,0.0,False,False,True
0,1,1,28.0,0,0,27.7208,83.1624,0.0,True,False,False
