Survived,Pclass,Sex,Age,SibSp,Parch,Fare,cross1,cross2,Embarked_C,Embarked_Q,Embarked_S
0,3,1,23.5,0,0,7.2292,7.2292,0.0,True,False,False
0,1,0,2.0,1,2,151.55,454.65,6.0,False,False,True
1,1,1,28.0,0,0,30.5,91.5,0.0,False,False,True
1,1,0,50.0,0,1,247.5208,742.5624,50.0,True,False,False
1,3,0,28.0,0,0,7.75,7.75,0.0,False,True,False
1,3,1,28.0,2,0,23.25,23.25,56.0,False,True,False
0,3,1,19.0,0,0,0.0,0.0,0.0,False,False,True
1,2,0,28.0,0,0,12.35,24.7,0.0,False,True,False
0,3,1,28.0,0,0,8.05,8.05,0.0,False,False,True
1,1,1,0.92,1,2,151.55,454.65,2.76,False,False,True
1,1,0,28.0,0,0,110.8833,332.6499,0.0,True,False,False
1,1,0,17.0,1,0,108.9,326.70000000000005,17.0,True,False,False
0,2,1,30.0,1,0,24.0,48.0,30.0,True,False,False
1,1,0,30.0,0,0,56.9292,170.7876,0.0,True,False,False
1,1,0,24.0,0,0,83.1583,249.4749,0.0,True,False,False
1,1,0,18.0,2,2,262.375,787.125,72.0,True,False,False
0,2,0,26.0,1,1,26.0,52.0,52.0,False,False,True
0,3,1,28.0,0,0,7.8958,7.8958,0.0,False,False,True
0,2,1,43.0,1,1,26.25,52.5,86.0,False,False,True
1,3,0,26.0,0,0,7.8542,7.8542,0.0,False,False,True
1,2,0,24.0,1,0,26.0,52.0,24.0,False,False,True
0,2,1,54.0,0,0,14.0,28.0,0.0,False,False,True
1,1,0,31.0,0,2,164.8667,494.6001,62.0,False,False,True
1,1,0,40.0,1,1,134.5,403.5,80.0,True,False,False
0,3,1,22.0,0,0,7.25,7.25,0.0,False,False,True
0,3,1,27.0,0,0,7.8958,7.8958,0.0,False,False,True
1,2,0,30.0,0,0,12.35,24.7,0.0,False,True,False
1,2,0,22.0,1,1,29.0,58.0,44.0,False,False,True
0,3,1,28.0,8,2,69.55,69.55,280.0,False,False,True
1,1,0,36.0,0,0,135.6333,406.8999,0.0,True,False,False
0,3,1,61.0,0,0,6.2375,6.2375,0.0,False,False,True
1,2,0,36.0,0,0,13.0,26.0,0.0,False,False,True
1,3,0,31.0,1,1,20.525,20.525,62.0,False,False,True
1,1,0,16.0,0,1,57.9792,173.9376,16.0,True,False,False
1,3,0,28.0,2,0,23.25,23.25,56.0,False,True,False
0,1,1,45.5,0,0,28.5,85.5,0.0,False,False,True
0,1,1,38.0,0,1,153.4625,460.3875000000001,38.0,False,False,True
0,3,1,16.0,2,0,18.0,18.0,32.0,False,False,True
1,1,0,28.0,1,0,133.65,400.9500000000001,28.0,False,False,True
0,3,1,28.0,0,0,7.8958,7.8958,0.0,False,False,True
0,1,1,29.0,1,0,66.6,199.8,29.0,False,False,True
1,1,0,41.0,0,0,134.5,403.5,0.0,True,False,False
1,3,1,45.0,0,0,8.05,8.05,0.0,False,False,True
0,1,1,45.0,0,0,35.5,106.5,0.0,False,False,True
1,2,1,2.0,1,1,26.0,52.0,4.0,False,False,True
1,1,0,24.0,3,2,263.0,789.0,120.0,False,False,True
0,2,1,28.0,0,0,13.0,26.0,0.0,False,False,True
0,2,1,25.0,0,0,13.0,26.0,0.0,False,False,True
0,2,1,36.0,0,0,13.0,26.0,0.0,False,False,True
1,2,0,24.0,0,0,13.0,26.0,0.0,False,False,True
1,2,0,40.0,0,0,13.0,26.0,0.0,False,False,True
1,3,0,28.0,1,0,16.1,16.1,28.0,False,False,True
1,3,1,3.0,1,1,15.9,15.9,6.0,False,False,True
0,3,1,42.0,0,0,8.6625,8.6625,0.0,False,False,True
0,3,1,23.0,0,0,9.225,9.225,0.0,False,False,True
0,1,1,28.0,0,0,35.0,105.0,0.0,False,False,True
0,3,1,15.0,1,1,7.2292,7.2292,30.0,True,False,False
0,3,1,25.0,1,0,17.8,17.8,25.0,False,False,True
0,3,1,28.0,0,0,7.225,7.225,0.0,True,False,False
0,3,1,28.0,0,0,9.5,9.5,0.0,False,False,True
1,1,0,22.0,0,1,55.0,165.0,22.0,False,False,True
0,2,0,38.0,0,0,13.0,26.0,0.0,False,False,True
1,3,0,28.0,0,0,7.8792,7.8792,0.0,False,True,False
1,3,0,28.0,0,0,7.8792,7.8792,0.0,False,True,False
0,3,1,40.0,1,4,27.9,27.9,200.0,False,False,True
0,2,1,29.0,1,0,27.7208,55.4416,29.0,True,False,False
0,3,0,45.0,0,1,14.4542,14.4542,45.0,True,False,False
0,3,1,35.0,0,0,7.05,7.05,0.0,False,False,True
0,3,1,28.0,1,0,15.5,15.5,28.0,False,True,False
0,3,1,30.0,0,0,7.25,7.25,0.0,False,False,True
1,1,0,60.0,1,0,75.25,225.75,60.0,True,False,False
1,3,0,28.0,0,0,7.2292,7.2292,0.0,True,False,False
1,3,0,28.0,0,0,7.75,7.75,0.0,False,True,False
1,1,0,24.0,0,0,69.3,207.9,0.0,True,False,False
1,1,1,25.0,1,0,55.4417,166.3251,25.0,True,False,False
0,3,1,18.0,1,0,6.4958,6.4958,18.0,False,False,True
0,3,1,19.0,0,0,8.05,8.05,0.0,False,False,True
0,1,1,22.0,0,0,135.6333,406.8999,0.0,True,False,False
0,3,0,3.0,3,1,21.075,21.075,12.0,False,False,True
1,1,0,28.0,1,0,82.1708,246.5124,28.0,True,False,False
1,3,0,22.0,0,0,7.25,7.25,0.0,False,False,True
0,1,1,27.0,0,2,211.5,634.5,54.0,True,False,False
0,3,1,20.0,0,0,4.0125,4.0125,0.0,True,False,False
0,3,1,19.0,0,0,7.775,7.775,0.0,False,False,True
1,1,0,42.0,0,0,227.525,682.575,0.0,True,False,False
1,3,0,1.0,0,2,15.7417,15.7417,2.0,True,False,False
0,3,1,32.0,0,0,7.925,7.925,0.0,False,False,True
1,1,0,35.0,1,0,52.0,156.0,35.0,False,False,True
0,3,1,28.0,0,0,7.8958,7.8958,0.0,False,False,True
0,2,1,18.0,0,0,73.5,147.0,0.0,False,False,True
0,3,1,1.0,5,2,46.9,46.9,7.0,False,False,True
1,2,0,36.0,0,0,13.0,26.0,0.0,False,False,True
0,3,1,28.0,0,0,7.7292,7.7292,0.0,False,True,False
1,2,0,17.0,0,0,12.0,24.0,0.0,True,False,False
1,1,1,36.0,1,2,120.0,360.0,108.0,False,False,True
1,3,1,21.0,0,0,7.7958,7.7958,0.0,False,False,True
0,3,1,28.0,2,0,7.925,7.925,56.0,False,False,True
1,1,0,23.0,1,0,113.275,339.82500000000005,23.0,True,False,False
1,3,0,24.0,0,2,16.7,16.7,48.0,False,False,True
0,3,1,22.0,0,0,7.7958,7.7958,0.0,False,False,True
0,3,0,31.0,0,0,7.8542,7.8542,0.0,False,False,True
0,2,1,46.0,0,0,26.0,52.0,0.0,False,False,True
0,2,1,23.0,0,0,10.5,21.0,0.0,False,False,True
1,2,0,28.0,0,0,12.65,25.3,0.0,False,False,True
1,3,1,39.0,0,0,7.925,7.925,0.0,False,False,True
0,3,1,26.0,0,0,8.05,8.05,0.0,False,False,True
0,3,0,21.0,1,0,9.825,9.825,21.0,False,False,True
0,3,1,28.0,1,0,15.85,15.85,28.0,False,False,True
0,3,0,20.0,0,0,8.6625,8.6625,0.0,False,False,True
0,2,1,34.0,1,0,21.0,42.0,34.0,False,False,True
0,3,1,51.0,0,0,7.75,7.75,0.0,False,False,True
1,2,1,3.0,1,1,18.75,37.5,6.0,False,False,True
0,3,1,21.0,0,0,7.775,7.775,0.0,False,False,True
0,3,0,28.0,3,1,25.4667,25.4667,112.0,False,False,True
0,3,1,28.0,0,0,7.8958,7.8958,0.0,False,False,True
0,3,1,28.0,0,0,6.8583,6.8583,0.0,False,True,False
1,1,0,33.0,1,0,90.0,270.0,33.0,False,True,False
0,2,1,28.0,0,0,0.0,0.0,0.0,False,False,True
1,3,1,44.0,0,0,7.925,7.925,0.0,False,False,True
0,3,0,28.0,0,0,8.05,8.05,0.0,False,False,True
1,2,0,34.0,1,1,32.5,65.0,68.0,False,False,True
1,2,0,18.0,0,2,13.0,26.0,36.0,False,False,True
0,2,1,30.0,0,0,13.0,26.0,0.0,False,False,True
0,3,0,10.0,0,2,24.15,24.15,20.0,False,False,True
0,3,1,28.0,0,0,7.8958,7.8958,0.0,True,False,False
0,3,1,21.0,0,0,7.7333,7.7333,0.0,False,True,False
0,3,1,29.0,0,0,7.875,7.875,0.0,False,False,True
0,3,0,28.0,1,1,14.4,14.4,56.0,False,False,True
0,3,1,18.0,1,1,20.2125,20.2125,36.0,False,False,True
0,3,1,28.0,0,0,7.25,7.25,0.0,False,False,True
1,2,0,28.0,1,0,26.0,52.0,28.0,False,False,True
1,2,0,19.0,0,0,26.0,52.0,0.0,False,False,True
0,3,1,28.0,0,0,7.75,7.75,0.0,False,True,False
1,3,1,32.0,0,0,8.05,8.05,0.0,False,False,True
1,1,1,28.0,0,0,26.55,79.65,0.0,False,False,True
1,3,0,28.0,1,0,16.1,16.1,28.0,False,False,True
1,2,0,42.0,1,0,26.0,52.0,42.0,False,False,True
0,3,1,17.0,0,0,7.125,7.125,0.0,False,False,True
0,1,1,50.0,1,0,55.9,167.7,50.0,False,False,True
1,1,0,14.0,1,2,120.0,360.0,42.0,False,False,True
0,3,0,21.0,2,2,34.375,34.375,84.0,False,False,True
1,2,0,24.0,2,3,18.75,37.5,120.0,False,False,True
0,1,1,64.0,1,4,263.0,789.0,320.0,False,False,True
0,2,1,31.0,0,0,10.5,21.0,0.0,False,False,True
1,2,0,45.0,1,1,26.25,52.5,90.0,False,False,True
0,3,1,20.0,0,0,9.5,9.5,0.0,False,False,True
0,3,1,25.0,1,0,7.775,7.775,25.0,False,False,True
1,2,0,28.0,0,0,13.0,26.0,0.0,False,False,True
1,3,1,28.0,0,0,8.1125,8.1125,0.0,False,False,True
1,1,1,4.0,0,2,81.8583,245.5749,8.0,False,False,True
1,2,0,13.0,0,1,19.5,39.0,13.0,False,False,True
1,1,1,34.0,0,0,26.55,79.65,0.0,False,False,True
1,3,0,5.0,2,1,19.2583,19.2583,15.0,True,False,False
1,1,1,52.0,0,0,30.5,91.5,0.0,False,False,True
0,2,1,36.0,1,2,27.75,55.5,108.0,False,False,True
0,3,1,28.0,1,0,19.9667,19.9667,28.0,False,False,True
0,1,1,30.0,0,0,27.75,83.25,0.0,True,False,False
1,1,1,49.0,1,0,89.1042,267.31260000000003,49.0,True,False,False
0,3,1,28.0,0,0,8.05,8.05,0.0,False,False,True
1,3,1,29.0,0,0,7.8958,7.8958,0.0,True,False,False
0,1,1,65.0,0,0,26.55,79.65,0.0,False,False,True
1,1,0,28.0,1,0,51.8625,155.58749999999998,28.0,False,False,True
1,2,0,50.0,0,0,10.5,21.0,0.0,False,False,True
0,3,1,28.0,0,0,7.75,7.75,0.0,False,True,False
1,1,1,48.0,0,0,26.55,79.65,0.0,False,False,True
0,3,1,34.0,0,0,8.05,8.05,0.0,False,False,True
0,1,1,47.0,0,0,38.5,115.5,0.0,False,False,True
0,2,1,48.0,0,0,13.0,26.0,0.0,False,False,True
0,3,1,28.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,38.0,0,0,7.05,7.05,0.0,False,False,True
0,2,1,28.0,0,0,0.0,0.0,0.0,False,False,True
0,1,1,56.0,0,0,26.55,79.65,0.0,False,False,True
0,3,1,28.0,0,0,7.725,7.725,0.0,False,True,False
1,3,0,0.75,2,1,19.2583,19.2583,2.25,True,False,False
0,3,1,28.0,0,0,7.25,7.25,0.0,False,False,True
0,3,1,38.0,0,0,8.6625,8.6625,0.0,False,False,True
1,2,0,33.0,1,2,27.75,55.5,99.0,False,False,True
1,2,0,23.0,0,0,13.7917,27.5834,0.0,True,False,False
0,3,0,22.0,0,0,9.8375,9.8375,0.0,False,False,True
0,1,1,28.0,0,0,52.0,156.0,0.0,False,False,True
0,2,1,34.0,1,0,21.0,42.0,34.0,False,False,True
0,3,1,29.0,1,0,7.0458,7.0458,29.0,False,False,True
0,3,1,22.0,0,0,7.5208,7.5208,0.0,False,False,True
1,3,0,2.0,0,1,12.2875,12.2875,2.0,False,False,True
0,3,1,9.0,5,2,46.9,46.9,63.0,False,False,True
0,2,1,28.0,0,0,0.0,0.0,0.0,False,False,True
0,3,1,50.0,0,0,8.05,8.05,0.0,False,False,True
1,3,0,63.0,0,0,9.5875,9.5875,0.0,False,False,True
1,1,1,25.0,1,0,91.0792,273.2376,25.0,True,False,False
0,3,0,28.0,3,1,25.4667,25.4667,112.0,False,False,True
1,1,0,35.0,1,0,90.0,270.0,35.0,False,False,True
0,1,1,58.0,0,0,29.7,89.1,0.0,True,False,False
0,3,1,30.0,0,0,8.05,8.05,0.0,False,False,True
1,3,1,9.0,1,1,15.9,15.9,18.0,False,False,True
0,3,1,28.0,1,0,19.9667,19.9667,28.0,False,False,True
0,3,1,21.0,0,0,7.25,7.25,0.0,False,False,True
0,1,1,55.0,0,0,30.5,91.5,0.0,False,False,True
0,1,1,71.0,0,0,49.5042,148.5126,0.0,True,False,False
0,3,1,21.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,28.0,0,0,14.4583,14.4583,0.0,True,False,False
1,1,0,54.0,1,0,78.2667,234.8001,54.0,True,False,False
0,3,1,28.0,0,0,15.1,15.1,0.0,False,False,True
0,1,0,25.0,1,2,151.55,454.65,75.0,False,False,True
0,3,1,24.0,0,0,7.7958,7.7958,0.0,False,False,True
0,3,1,17.0,0,0,8.6625,8.6625,0.0,False,False,True
0,3,0,21.0,0,0,7.75,7.75,0.0,False,True,False
0,3,0,28.0,0,0,7.6292,7.6292,0.0,False,True,False
0,3,0,37.0,0,0,9.5875,9.5875,0.0,False,False,True
1,1,0,16.0,0,0,86.5,259.5,0.0,False,False,True
0,1,1,18.0,1,0,108.9,326.70000000000005,18.0,True,False,False
1,2,0,33.0,0,2,26.0,52.0,66.0,False,False,True
1,1,1,28.0,0,0,26.55,79.65,0.0,False,False,True
0,3,1,28.0,0,0,22.525,22.525,0.0,False,False,True
1,3,1,26.0,0,0,56.4958,56.4958,0.0,False,False,True
1,3,1,29.0,0,0,7.75,7.75,0.0,False,True,False
0,3,1,28.0,0,0,8.05,8.05,0.0,False,False,True
1,1,1,36.0,0,0,26.2875,78.86250000000001,0.0,False,False,True
1,1,0,54.0,1,0,59.4,178.2,54.0,True,False,False
0,3,1,24.0,0,0,7.4958,7.4958,0.0,False,False,True
0,1,1,47.0,0,0,34.0208,102.0624,0.0,False,False,True
1,2,0,34.0,0,0,10.5,21.0,0.0,False,False,True
0,3,1,28.0,0,0,24.15,24.15,0.0,False,True,False
1,2,0,36.0,1,0,26.0,52.0,36.0,False,False,True
0,3,1,32.0,0,0,7.8958,7.8958,0.0,False,False,True
1,1,0,30.0,0,0,93.5,280.5,0.0,False,False,True
0,3,1,22.0,0,0,7.8958,7.8958,0.0,False,False,True
0,3,1,28.0,0,0,7.225,7.225,0.0,True,False,False
1,1,0,44.0,0,1,57.9792,173.9376,44.0,True,False,False
0,3,1,28.0,0,0,7.2292,7.2292,0.0,True,False,False
0,3,1,40.5,0,0,7.75,7.75,0.0,False,True,False
1,2,0,50.0,0,0,10.5,21.0,0.0,False,False,True
0,1,1,28.0,0,0,221.7792,665.3376000000001,0.0,False,False,True
0,3,1,39.0,0,0,7.925,7.925,0.0,False,False,True
0,2,1,23.0,2,1,11.5,23.0,69.0,False,False,True
1,2,0,2.0,1,1,26.0,52.0,4.0,False,False,True
0,3,1,28.0,0,0,7.2292,7.2292,0.0,True,False,False
0,3,1,17.0,1,1,7.2292,7.2292,34.0,True,False,False
1,3,0,28.0,0,2,22.3583,22.3583,56.0,True,False,False
0,3,0,30.0,0,0,8.6625,8.6625,0.0,False,False,True
1,2,0,7.0,0,2,26.25,52.5,14.0,False,False,True
0,1,1,45.0,0,0,26.55,79.65,0.0,False,False,True
1,1,0,30.0,0,0,106.425,319.275,0.0,True,False,False
0,3,1,28.0,0,0,14.5,14.5,0.0,False,False,True
1,1,0,22.0,0,2,49.5,148.5,44.0,True,False,False
1,1,0,36.0,0,2,71.0,213.0,72.0,False,False,True
0,3,0,9.0,4,2,31.275,31.275,54.0,False,False,True
0,3,0,11.0,4,2,31.275,31.275,66.0,False,False,True
1,2,1,32.0,1,0,26.0,52.0,32.0,False,False,True
0,1,1,50.0,1,0,106.425,319.275,50.0,True,False,False
0,1,1,64.0,0,0,26.0,78.0,0.0,False,False,True
1,2,0,19.0,1,0,26.0,52.0,19.0,False,False,True
1,2,1,28.0,0,0,13.8625,27.725,0.0,True,False,False
0,3,1,33.0,1,1,20.525,20.525,66.0,False,False,True
1,2,1,8.0,1,1,36.75,73.5,16.0,False,False,True
1,1,1,17.0,0,2,110.8833,332.6499,34.0,True,False,False
0,2,1,27.0,0,0,26.0,52.0,0.0,False,False,True
0,3,1,28.0,0,0,7.8292,7.8292,0.0,False,True,False
1,3,1,22.0,0,0,7.225,7.225,0.0,True,False,False
1,3,0,22.0,0,0,7.775,7.775,0.0,False,False,True
0,1,1,62.0,0,0,26.55,79.65,0.0,False,False,True
1,1,0,48.0,1,0,39.6,118.8,48.0,True,False,False
0,1,1,28.0,0,0,227.525,682.575,0.0,True,False,False
1,1,0,39.0,1,1,79.65,238.95,78.0,False,False,True
1,3,0,36.0,1,0,17.4,17.4,36.0,False,False,True
0,3,1,28.0,0,0,7.75,7.75,0.0,False,True,False
0,3,1,40.0,0,0,7.8958,7.8958,0.0,False,False,True
0,2,1,28.0,0,0,13.5,27.0,0.0,False,False,True
0,3,1,28.0,0,0,8.05,8.05,0.0,False,False,True
0,3,0,28.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,24.0,2,0,24.15,24.15,48.0,False,False,True
0,3,1,19.0,0,0,7.8958,7.8958,0.0,False,False,True
0,3,0,29.0,0,4,21.075,21.075,116.0,False,False,True
0,3,1,28.0,0,0,7.2292,7.2292,0.0,True,False,False
1,3,1,32.0,0,0,7.8542,7.8542,0.0,False,False,True
1,2,1,62.0,0,0,10.5,21.0,0.0,False,False,True
1,1,0,53.0,2,0,51.4792,154.4376,106.0,False,False,True
1,1,1,36.0,0,0,26.3875,79.1625,0.0,False,False,True
1,3,0,28.0,0,0,7.75,7.75,0.0,False,True,False
0,3,1,16.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,19.0,0,0,14.5,14.5,0.0,False,False,True
1,2,0,34.0,0,0,13.0,26.0,0.0,False,False,True
1,1,0,39.0,1,0,55.9,167.7,39.0,False,False,True
0,3,0,28.0,1,0,14.4583,14.4583,28.0,True,False,False
1,3,1,32.0,0,0,7.925,7.925,0.0,False,False,True
1,2,0,25.0,1,1,30.0,60.0,50.0,False,False,True
1,1,0,39.0,1,1,110.8833,332.6499,78.0,True,False,False
0,2,1,54.0,0,0,26.0,52.0,0.0,False,False,True
0,1,1,36.0,0,0,40.125,120.375,0.0,True,False,False
0,3,1,28.0,0,0,8.7125,8.7125,0.0,True,False,False
1,1,0,18.0,0,2,79.65,238.95,36.0,False,False,True
0,2,1,47.0,0,0,15.0,30.0,0.0,False,False,True
1,1,1,60.0,1,1,79.2,237.6,120.0,True,False,False
0,3,1,22.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,28.0,0,0,8.05,8.05,0.0,False,False,True
0,3,1,35.0,0,0,7.125,7.125,0.0,False,False,True
1,1,0,52.0,1,0,78.2667,234.8001,52.0,True,False,False
0,3,1,47.0,0,0,7.25,7.25,0.0,False,False,True
